,total,objectIDs
738,27413,191777
739,27413,191850
740,27413,191846
741,27413,191844
742,27413,191863
743,27413,191481
744,27413,191845
745,27413,191810
746,27413,191852
747,27413,199011
748,27413,199036
749,27413,199848
750,27413,198767
751,27413,824727
752,27413,187534
753,27413,469984
754,27413,466568
755,27413,464502
756,27413,466822
757,27413,465977
758,27413,23344
759,27413,196472
760,27413,191808
761,27413,463674
762,27413,199708
763,27413,207493
764,27413,207494
765,27413,206340
766,27413,208578
767,27413,196459
768,27413,196458
769,27413,196447
770,27413,191811
771,27413,196445
772,27413,192676
773,27413,196440
774,27413,191804
775,27413,193653
776,27413,196495
777,27413,196493
778,27413,196461
779,27413,196494
780,27413,196469
781,27413,196491
782,27413,196484
783,27413,196480
784,27413,196507
785,27413,198597
786,27413,198595
787,27413,236073
788,27413,231915
789,27413,236074
790,27413,849043
791,27413,22925
792,27413,22935
793,27413,463716
794,27413,464295
795,27413,24671
796,27413,21966
797,27413,196456
798,27413,207519
799,27413,206612
800,27413,196471
801,27413,196488
802,27413,196442
803,27413,206613
804,27413,206614
805,27413,196502
806,27413,196481
807,27413,206675
808,27413,206789
809,27413,196483
810,27413,206607
811,27413,207320
812,27413,193438
813,27413,206790
814,27413,207559
815,27413,209221
816,27413,464158
817,27413,464289
818,27413,464248
819,27413,467369
820,27413,479089
821,27413,467733
822,27413,238641
823,27413,200615
824,27413,205433
825,27413,464417
826,27413,464416
827,27413,464415
828,27413,464414
829,27413,194170
830,27413,841282
831,27413,841280
832,27413,841279
833,27413,841260
834,27413,207510
835,27413,207498
836,27413,207492
837,27413,466109
838,27413,822779
839,27413,822774
840,27413,746939
841,27413,467367
842,27413,187569
843,27413,191046
844,27413,33819
845,27413,647197
846,27413,463681
847,27413,464704
848,27413,464392
849,27413,464607
850,27413,467756
851,27413,208720
852,27413,81134
853,27413,467744
854,27413,467708
855,27413,467737
856,27413,467743
857,27413,467761
858,27413,467992
859,27413,464684
860,27413,463537
861,27413,466799
862,27413,467498
863,27413,467643
864,27413,467499
865,27413,468318
866,27413,205445
867,27413,195490
868,27413,856700
869,27413,822719
870,27413,822729
871,27413,687929
872,27413,470392
873,27413,470135
874,27413,470127
875,27413,474207
876,27413,479788
877,27413,477779
878,27413,477221
879,27413,825923
880,27413,466104
881,27413,466070
882,27413,466056
883,27413,468219
884,27413,468305
885,27413,468256
886,27413,468361
887,27413,468339
888,27413,468458
889,27413,468544
890,27413,466294
891,27413,467998
892,27413,466295
893,27413,468090
894,27413,465983
895,27413,468304
896,27413,824469
897,27413,464047
898,27413,206984
899,27413,821874
900,27413,821880
901,27413,821878
902,27413,821879
903,27413,591854
904,27413,14973
905,27413,209288
906,27413,189527
907,27413,189432
908,27413,460605
909,27413,207138
910,27413,207258
911,27413,238934
912,27413,197654
913,27413,209005
914,27413,209142
915,27413,209134
916,27413,209132
917,27413,209135
918,27413,209140
919,27413,209139
920,27413,209136
921,27413,209133
922,27413,209141
923,27413,209138
924,27413,209137
925,27413,24676
926,27413,714885
927,27413,714888
928,27413,194972
929,27413,22405
930,27413,193875
931,27413,239342
